"These data are consistent with data reported to CDC for Abortion Surveillance -- United States, 2020 found at: https://www.cdc.gov/mmwr/volumes/71/ss/ss7110a1.htm?s_cid=ss7110a1_w",,Area of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Area,Alabama,Alaska,Arizona,Arkansas,California**,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland**,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire**",New Jersey,New Mexico,"New York 
(City and State)",North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,US Territory,Canada,Mexico,Other foreign country,Out-of-area (exact residence unknown),Unknown residence,Total by location of service
,Indiana,0,0,--,0,--,0,0,0,0,--,0,0,0,75,"7,372",0,0,200,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,--,0,0,0,--,--,0,0,--,0,0,0,0,0,0,0,0,0,0,7756
,Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,0,4058
,Kansas,0,0,0,74,--,--,0,0,0,--,--,--,0,--,--,0,"3,625",0,--,0,--,0,--,0,--,3201,0,--,0,0,0,0,--,--,0,--,277,--,--,0,--,0,--,289,0,0,--,0,0,0,0,--,0,0,--,0,0,7526
,Kentucky,0,0,0,0,0,0,0,0,0,--,0,0,0,--,401,0,0,"3,487",--,0,--,0,0,0,--,--,0,0,--,0,--,0,0,0,0,--,0,0,0,0,0,0,153,--,0,0,--,0,--,0,0,0,0,0,0,0,0,4104
,Louisiana,--,--,0,202,--,0,0,0,0,--,--,0,0,--,0,0,0,0,"6,233",0,0,--,0,0,136,0,0,0,0,0,0,0,--,0,0,--,--,0,0,--,--,0,--,871,0,0,--,0,0,0,0,0,0,0,0,0,0,7473
,Maine,0,0,0,0,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,"1,946",0,--,0,0,0,0,0,0,0,87,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,--,2064
,Maryland**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,396,16452
,Michigan,--,0,--,0,--,--,0,0,0,--,--,--,0,--,311,0,0,--,0,0,--,--,"28,048",--,--,--,--,--,--,0,--,0,--,--,--,1130,0,--,--,0,0,--,--,--,0,0,--,--,--,--,0,--,--,0,0,0,--,29669
,Minnesota,--,0,--,0,--,--,0,0,0,--,--,0,0,--,0,59,--,--,0,--,--,0,--,"9,370",0,--,--,0,--,0,0,0,--,--,52,--,0,0,0,0,--,157,--,--,--,0,--,--,0,636,0,0,--,0,--,0,--,10349
,Mississippi,50,0,0,--,--,0,0,--,0,--,--,0,0,--,0,0,0,0,264,0,0,0,0,0,3199,0,0,0,0,--,0,0,--,--,0,--,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,3559
,Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
,Montana,0,0,--,0,--,--,0,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,--,--,0,0,1498,0,--,0,--,0,--,0,50,--,0,--,0,0,--,--,0,--,--,0,0,--,0,0,77,0,0,0,0,0,0,1675
,Nebraska,0,0,0,0,0,--,0,0,0,--,--,0,0,--,--,200,--,0,0,0,0,0,0,--,0,--,0,2004,0,0,0,0,--,0,0,0,--,--,0,0,0,132,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,2378
,Nevada,0,--,179,--,100,0,0,--,0,--,--,--,--,--,--,0,--,0,--,0,0,0,--,0,0,--,0,0,8144,0,--,--,--,--,--,--,0,--,0,--,0,0,--,--,123,--,--,--,0,--,0,0,0,0,--,0,--,8633
,New Hampshire**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,New Jersey,--,0,--,0,--,0,--,121,--,--,--,--,0,--,0,0,0,0,0,--,--,--,0,0,--,0,0,0,--,0,21375,0,298,--,0,--,0,0,1080,--,--,0,0,--,0,0,--,0,--,--,0,0,0,0,--,0,--,22972
,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,253,4293
,New York City,--,0,--,--,--,--,64,--,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,839,0,36299,--,0,--,--,--,98,--,--,0,--,--,--,0,--,--,0,0,0,0,--,0,--,--,--,37523
,New York State,--,0,--,0,--,--,98,0,--,--,--,0,0,0,0,0,0,--,0,0,--,--,--,0,--,0,0,0,0,0,--,--,23143,--,0,--,0,0,248,--,--,0,0,--,0,--,--,0,0,--,0,0,0,--,--,1999,--,25619
,North Carolina,--,0,--,--,--,--,--,0,--,--,127,0,0,--,--,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,--,0,--,24694,0,--,0,--,--,--,4072,0,185,--,--,0,510,--,--,--,0,--,0,0,0,0,193,30004
,North Dakota,0,0,0,0,--,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0,0,276,0,0,--,0,0,0,0,0,0,0,836,0,0,0,0,0,0,57,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,1174
,Ohio,--,0,0,0,--,0,0,--,--,--,--,0,0,--,247,--,--,715,--,--,0,0,--,0,--,0,0,0,--,0,--,0,--,--,0,19438,--,--,64,0,0,0,--,--,0,0,--,0,--,--,0,0,0,0,--,0,0,20605
,Oklahoma,0,0,--,168,--,0,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,--,0,0,0,0,--,0,0,0,0,--,0,--,--,--,3157,0,0,--,0,0,0,341,0,0,0,--,0,0,0,--,0,0,0,0,--,3797
,Oregon,0,--,--,0,--,--,0,0,0,0,--,--,--,0,0,--,0,0,--,0,0,0,0,0,0,--,--,0,--,0,0,--,--,--,--,0,0,6319,--,0,--,0,0,--,--,0,0,577,0,0,0,0,0,0,--,0,0,6991
,Pennsylvania,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,336,0,--,0,0,570,0,0,29979,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,--,95,0,32123
,Rhode Island,--,0,0,0,--,0,--,0,0,--,0,0,0,0,0,0,0,0,--,--,0,369,0,0,--,0,0,0,0,--,--,0,--,0,0,0,0,0,--,2186,0,0,0,--,0,0,0,0,--,0,0,0,0,0,--,0,--,2611
,South Carolina,--,0,--,0,--,--,--,--,0,--,82,0,0,--,--,0,0,--,0,0,--,--,--,0,0,0,0,0,0,0,--,0,--,138,0,--,--,0,--,0,5190,0,--,--,0,0,--,0,--,0,0,0,0,0,0,0,0,5468
,South Dakota,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
,Tennessee**,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11243,11243
,Texas,--,0,--,--,--,--,--,0,0,--,--,0,0,--,--,--,--,--,788,0,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,74,--,--,--,--,0,--,53949,0,0,--,--,0,--,0,--,0,53,--,--,0,55132
,Utah,0,0,--,0,--,--,0,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,--,--,0,--,0,0,0,0,0,0,0,--,2244,0,0,--,0,--,--,0,0,0,0,0,0,2362
,Vermont,0,0,0,0,0,0,--,0,0,0,--,0,0,--,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,130,0,0,51,--,0,0,0,0,--,--,0,0,0,--,--,1014,0,0,0,0,0,0,--,0,0,0,0,1227
,Virginia,--,--,--,--,--,--,--,--,117,--,--,0,0,--,0,--,0,--,--,0,441,0,--,--,--,--,0,0,--,0,--,0,--,267,--,--,0,0,--,--,--,0,--,--,0,0,14537,--,97,--,--,--,0,0,0,0,0,15604
,Washington,--,53,--,--,--,--,--,0,0,--,--,--,371,--,--,0,--,0,--,0,--,0,--,--,0,0,--,--,--,0,--,0,--,--,--,--,--,252,--,0,--,0,--,--,--,0,0,16050,--,--,0,0,--,0,0,0,--,16909
,West Virginia,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,76,0,0,--,0,--,0,0,0,0,0,--,0,849,0,0,0,0,0,0,0,0,1001
,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,--,0,0,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6336,0,0,0,0,0,--,0,6430
,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,--,91
,Total by residence,"8,607","1,261","13,435","3,340",398,"8,598","8,880","2,884","1,433","71,197","32,892","1,792","2,048","36,438","10,250","3,755","3,713","4,685","7,738","1,965","2,609","16,033","28,283","9,704",4607,9980,1584,2103,8240,230,22710,2960,60158,25269,953,21388,3553,6627,31646,2403,11385,579,2148,56084,2438,1025,16205,16673,1415,7560,534,--,--,54,94,5106,12644,620327
"""--""  Reporting area did not report, or data not reportable by CDC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Reporting area did not report, or only reported by occurrence; because abortion numbers by residence are available only from other reporting areas where residents obtained abortions, data by area of residence should be interpreted with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
